domain,method,seen,unseen,H-mean
depressed -> neutral,TUPL,97.44 ± 1.66,56.66 ± 10.61,68.78 ± 8.41
depressed -> neutral,our_TUPL_interp_src2tgt,90.97 ± 3.25,32.53 ± 12.85,40.24 ± 14.58
depressed -> old,base,98.96 ± 1.04,35.72 ± 10.49,48.14 ± 11.58
depressed -> old,VisTA,71.59 ± 9.89,29.66 ± 10.97,33.35 ± 9.64
depressed -> old,CCVAE,90.00 ± 8.16,21.20 ± 6.75,31.13 ± 8.76
depressed -> old,our_GRE,84.19 ± 7.16,46.58 ± 12.39,53.53 ± 12.23
depressed -> old,TUPL,91.64 ± 2.93,27.70 ± 9.60,38.29 ± 10.91
depressed -> old,our_TUPL_interp_src2tgt,90.17 ± 2.80,40.47 ± 10.90,51.09 ± 10.76
depressed -> proud,base,83.68 ± 9.45,41.01 ± 12.13,48.38 ± 12.48
depressed -> proud,VisTA,45.83 ± 12.36,50.80 ± 15.77,31.41 ± 7.95
depressed -> proud,CCVAE,81.25 ± 10.08,29.33 ± 10.98,37.27 ± 10.95
depressed -> proud,our_GRE,73.96 ± 10.00,48.25 ± 12.59,49.38 ± 10.55
depressed -> proud,TUPL,96.88 ± 1.50,55.23 ± 6.30,69.29 ± 5.27
depressed -> proud,our_TUPL_interp_src2tgt,96.88 ± 1.50,45.09 ± 14.95,52.83 ± 17.08
depressed -> strutting,base,73.75 ± 9.44,34.10 ± 11.58,37.90 ± 10.51
depressed -> strutting,VisTA,51.56 ± 13.88,45.83 ± 15.14,29.46 ± 12.07
depressed -> strutting,CCVAE,71.67 ± 10.14,19.77 ± 8.12,24.46 ± 8.92
depressed -> strutting,our_GRE,65.28 ± 9.72,49.16 ± 12.91,46.41 ± 9.82
depressed -> strutting,TUPL,92.26 ± 4.11,51.94 ± 4.96,65.33 ± 3.90
depressed -> strutting,our_TUPL_interp_src2tgt,90.17 ± 5.69,27.15 ± 7.60,39.14 ± 9.28
neutral -> angry,base,97.98 ± 1.31,27.94 ± 11.12,37.29 ± 14.21
neutral -> angry,VisTA,65.44 ± 14.97,53.53 ± 13.21,42.85 ± 8.75
neutral -> angry,CCVAE,97.05 ± 1.35,25.98 ± 11.65,33.98 ± 15.22
neutral -> angry,our_GRE,93.51 ± 1.98,39.32 ± 13.91,47.66 ± 13.24
neutral -> angry,TUPL,100.00 ± 0.00,69.06 ± 9.61,79.61 ± 7.36
neutral -> angry,our_TUPL_interp_src2tgt,97.92 ± 2.08,46.27 ± 12.55,57.22 ± 11.24
neutral -> childlike,base,86.81 ± 5.86,26.14 ± 11.75,32.41 ± 14.50
neutral -> childlike,VisTA,58.53 ± 8.53,42.51 ± 6.95,44.43 ± 4.08
neutral -> childlike,CCVAE,80.56 ± 6.45,25.36 ± 11.35,31.88 ± 14.26
neutral -> childlike,our_GRE,69.44 ± 8.40,25.72 ± 11.52,27.61 ± 12.41
neutral -> childlike,TUPL,92.01 ± 2.18,55.79 ± 5.89,68.58 ± 4.12
neutral -> childlike,our_TUPL_interp_src2tgt,87.58 ± 3.64,57.70 ± 5.04,68.30 ± 2.23
neutral -> depressed,base,87.98 ± 3.01,26.26 ± 12.36,32.73 ± 14.89
neutral -> depressed,VisTA,42.75 ± 13.22,49.92 ± 7.16,35.33 ± 7.90
neutral -> depressed,CCVAE,80.85 ± 5.10,22.56 ± 10.10,29.32 ± 13.11
neutral -> depressed,our_GRE,79.36 ± 3.99,30.07 ± 14.19,34.88 ± 15.99
neutral -> depressed,TUPL,88.50 ± 4.31,31.61 ± 8.50,42.70 ± 10.18
neutral -> depressed,our_TUPL_interp_src2tgt,91.54 ± 1.73,43.35 ± 10.95,54.25 ± 11.13
neutral -> old,base,84.44 ± 7.54,25.08 ± 14.58,29.96 ± 15.09
neutral -> old,VisTA,44.14 ± 12.37,38.21 ± 11.55,25.26 ± 8.71
