,domain,method,seen,unseen,H-mean
96,old -> angry,Base,81.48 ± 8.69,12.25 ± 7.68,17.64 ± 10.01
97,old -> angry,GZSDA,76.20 ± 9.31,9.56 ± 7.30,12.92 ± 8.86
98,old -> angry,Our,70.83 ± 10.03,23.01 ± 10.36,26.12 ± 11.76
99,old -> angry,Our+GRE,72.87 ± 9.27,22.53 ± 10.14,27.37 ± 12.37
100,old -> childlike,Base,81.75 ± 9.34,14.02 ± 6.35,20.65 ± 9.05
101,old -> childlike,GZSDA,80.56 ± 10.02,10.09 ± 5.56,15.51 ± 8.07
102,old -> childlike,Our,79.17 ± 10.03,21.52 ± 9.33,27.46 ± 11.48
103,old -> childlike,Our+GRE,80.56 ± 10.02,21.52 ± 9.33,27.89 ± 11.74
104,old -> depressed,Base,86.93 ± 4.38,12.01 ± 6.66,17.43 ± 8.76
105,old -> depressed,GZSDA,70.20 ± 9.17,9.47 ± 6.61,12.11 ± 7.20
106,old -> depressed,Our,70.20 ± 9.17,21.92 ± 9.98,24.93 ± 11.18
107,old -> depressed,Our+GRE,72.59 ± 8.40,20.61 ± 9.41,25.19 ± 11.41
108,old -> neutral,Base,88.82 ± 3.82,8.64 ± 6.52,12.54 ± 8.61
109,old -> neutral,GZSDA,76.50 ± 9.19,7.10 ± 7.10,7.67 ± 7.67
110,old -> neutral,Our,76.50 ± 9.19,20.52 ± 9.84,25.37 ± 11.75
111,old -> neutral,Our+GRE,81.90 ± 6.27,20.08 ± 9.69,26.02 ± 12.04
112,old -> proud,Base,80.36 ± 9.39,14.04 ± 6.91,19.43 ± 8.91
113,old -> proud,GZSDA,75.00 ± 11.18,10.53 ± 6.51,13.67 ± 7.34
114,old -> proud,Our,75.00 ± 11.18,28.21 ± 13.55,28.38 ± 12.82
115,old -> proud,Our+GRE,75.00 ± 11.18,27.77 ± 13.46,27.95 ± 12.61
116,old -> strutting,Base,73.33 ± 10.54,5.50 ± 5.50,6.62 ± 6.62
117,old -> strutting,GZSDA,71.67 ± 10.14,5.50 ± 5.50,6.62 ± 6.62
